"state","division","region","pop","popgrow","popden","pcturban","faminc","hsng","hsnggrow","hsngval","rent"
"N. Carolina","S. Atl.","South",5881766,15.6999998092651,1204,47.9932708740234,16792,2274737,38.5332641601562,36000,205
"N. Dakota","W.N.C.","N Cntrl",652717,5.69999980926514,94,48.7669219970703,18023,258772,26.7030620574951,43800,206
"Nebraska","W.N.C.","N Cntrl",1569825,5.69999980926514,205,62.9279708862305,19122,624829,21.2012882232666,38000,213
"Nevada","Mountain","West",800493,63.7999992370605,73,85.3157958984375,21311,339949,97.0056457519531,69200,310
"New Hampshire","N. Eng.","NE",920610,24.7999992370605,1024,52.1746444702148,19723,386381,37.5207328796387,48000,251
"New Jersey","Mid Atl","NE",7364823,2.70000004768372,9862,89.0364532470703,22906,2772149,16.0531578063965,61400,270
"New Mexico","Mountain","West",1302894,28.1000003814697,107,72.1442413330078,16928,507513,55.6272773742676,45400,216
"New York","Mid Atl","NE",17558072,-3.59999990463257,3706,84.6224365234375,20180,6867638,9.01559543609619,45900,249
"Ohio","E.N.C.","N Cntrl",10797630,1.29999995231628,2633,73.3333053588867,20909,4108105,18.5023002624512,45100,224
"Oklahoma","W.S.C.","South",3025290,18.2000007629395,441,67.2689895629883,17668,1237040,31.6610679626465,35600,214
"Oregon","Pacific","West",2633105,25.8999996185303,274,67.9180679321289,20027,1083285,45.4495544433594,59000,257
"Pennsylvania","Mid Atl","NE",11863895,0.5,2643,69.2930221557617,19995,4596431,17.0407409667969,39100,225
"Rhode Island","N. Eng.","NE",947154,-0.200000002980232,8980,86.9978942871094,19448,372672,17.3071784973145,47000,222
"S. Carolina","S. Atl.","South",3121820,20.5,1034,54.1111602783203,16978,1153709,41.5057373046875,35100,206
"S. Dakota","W.N.C.","N Cntrl",690768,3.70000004768372,91,46.4377326965332,15993,276997,22.8820362091064,36600,188
"Tennessee","E.S.C.","South",4591120,16.8999996185303,1116,60.4116859436035,16564,1747422,34.2631912231445,35600,203
"Texas","W.S.C.","South",14229191,27.1000003814697,543,79.6462478637695,19618,5549352,44.888256072998,39100,245
"Utah","Mountain","West",1461037,37.9000015258789,178,84.3962173461914,20024,490006,55.180591583252,60000,235
"Vermont","N. Eng.","NE",511456,15,552,33.7731895446777,17205,223199,35.0993576049805,42300,226
"Virginia","S. Atl.","South",5346818,14.8999996185303,1347,66.0097808837891,20018,2020941,35.2760047912598,48100,259
"W. Virginia","S. Atl.","South",1949644,11.8000001907349,808,36.1768112182617,17308,747810,25.2055206298828,38500,195
"Washington","Pacific","West",4132156,21.1000003814697,621,73.4970779418945,21696,1689450,38.260669708252,60700,254
"Wisconsin","E.N.C.","N Cntrl",4705767,6.5,865,64.1921310424805,20915,1863897,26.5957450866699,48600,234
"Wyoming","Mountain","West",469557,41.2999992370605,48,62.748291015625,22430,188217,61.8054885864258,60400,252
